1434654387692 3 [0.45, 0.51, 0.47] [0.52, 0.55, 0.49] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654388712 3 [0.45, 0.51, 0.51] [0.52, 0.55, 0.49] 24.0 0.0 8.0 20856.0 3.817234432E9 6948.0
1434654389732 3 [0.45, 0.51, 0.51] [0.52, 0.55, 0.49] 24.0 0.0 8.0 20856.0 3.817099264E9 6948.0
1434654390752 3 [0.41, 0.51, 0.51] [0.51, 0.55, 0.49] 24.0 0.0 8.0 20856.0 3.816726528E9 6948.0
1434654391775 3 [0.41, 0.51, 0.51] [0.51, 0.55, 0.49] 24.0 0.0 8.0 20856.0 3.816726528E9 6948.0
1434654392795 3 [0.41, 0.47, 0.51] [0.51, 0.54, 0.49] 24.0 0.0 8.0 20856.0 3.816726528E9 6948.0
1434654393814 3 [0.41, 0.47, 0.55] [0.51, 0.54, 0.5] 24.0 0.0 8.0 20856.0 3.816726528E9 6948.0
1434654394834 3 [0.41, 0.47, 0.55] [0.51, 0.54, 0.5] 24.0 0.0 8.0 20856.0 3.816710144E9 6948.0
1434654395853 3 [0.46, 0.47, 0.55] [0.52, 0.54, 0.5] 24.0 0.0 8.0 20856.0 3.816710144E9 6948.0
1434654396874 3 [0.46, 0.47, 0.55] [0.52, 0.54, 0.5] 24.0 0.0 8.0 20856.0 3.816845312E9 6948.0
1434654397893 3 [0.46, 0.43, 0.55] [0.52, 0.53, 0.5] 24.0 0.0 8.0 20856.0 3.816845312E9 6948.0
1434654398913 3 [0.46, 0.43, 0.5] [0.52, 0.53, 0.49] 24.0 0.0 8.0 20856.0 3.816718336E9 6948.0
1434654399933 3 [0.46, 0.43, 0.5] [0.52, 0.53, 0.49] 24.0 0.0 8.0 20856.0 3.816718336E9 6948.0
1434654400957 3 [0.42, 0.43, 0.5] [0.51, 0.53, 0.49] 24.0 0.0 8.0 20856.0 3.816726528E9 6948.0
1434654401980 3 [0.42, 0.43, 0.5] [0.51, 0.53, 0.49] 24.0 0.0 8.0 20856.0 3.816583168E9 6948.0
1434654403000 3 [0.42, 0.4, 0.54] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816583168E9 6948.0
1434654404021 3 [0.42, 0.4, 0.54] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.81659136E9 6948.0
1434654405045 3 [0.42, 0.4, 0.54] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816583168E9 6948.0
1434654406065 3 [0.47, 0.4, 0.54] [0.52, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816169472E9 6948.0
1434654407085 3 [0.47, 0.4, 0.54] [0.52, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816083456E9 6948.0
1434654408104 3 [0.47, 0.45, 0.5] [0.52, 0.53, 0.49] 24.0 0.0 8.0 20856.0 3.816083456E9 6948.0
1434654409124 3 [0.47, 0.45, 0.5] [0.52, 0.53, 0.49] 24.0 0.0 8.0 20856.0 3.816083456E9 6948.0
1434654410143 3 [0.47, 0.45, 0.5] [0.52, 0.53, 0.49] 24.0 0.0 8.0 20856.0 3.816083456E9 6948.0
1434654411163 3 [0.43, 0.45, 0.5] [0.51, 0.53, 0.49] 24.0 0.0 8.0 20856.0 3.816091648E9 6948.0
1434654412185 3 [0.43, 0.45, 0.5] [0.51, 0.53, 0.49] 24.0 0.0 8.0 20856.0 3.816337408E9 6948.0
1434654413205 3 [0.43, 0.41, 0.54] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816599552E9 6948.0
1434654414227 3 [0.43, 0.41, 0.54] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816472576E9 6948.0
1434654415248 3 [0.43, 0.41, 0.54] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816456192E9 6948.0
1434654416272 3 [0.48, 0.41, 0.54] [0.52, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816456192E9 6948.0
1434654417294 3 [0.48, 0.46, 0.54] [0.52, 0.53, 0.5] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654418314 3 [0.48, 0.46, 0.58] [0.52, 0.53, 0.51] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654419334 3 [0.48, 0.46, 0.58] [0.52, 0.53, 0.51] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
