
1435110456204 3 [0.14, 0.0, 4.1] [1.2, 0.01, 5.93] 24.0 0.0 16.0 20856.0 2.6595328E8 13848.0
1435110457620 3 [0.14, 0.0, 3.77] [1.2, 0.01, 5.83] 24.0 0.0 16.0 20856.0 2.65818112E8 13848.0
1435110466079 3 [0.52, 0.0, 5.47] [1.24, 0.01, 6.15] 24.0 0.0 16.0 20856.0 2.6595328E8 13848.0
1435110467276 3 [0.52, 0.0, 5.19] [1.24, 0.01, 6.08] 24.0 0.0 16.0 20856.0 2.65396224E8 13848.0
1435110475176 3 [1.36, 0.0, 4.86] [1.4, 0.01, 5.99] 24.0 0.0 16.0 20856.0 2.65064448E8 13848.0
1435110476375 3 [1.36, 0.0, 4.86] [1.4, 0.01, 5.99] 24.0 0.0 16.0 20856.0 2.66207232E8 13848.0
1435110477512 3 [1.36, 0.0, 4.55] [1.4, 0.01, 5.91] 24.0 0.0 16.0 20856.0 2.65682944E8 13848.0
1435110478652 3 [1.36, 0.0, 4.55] [1.4, 0.01, 5.91] 24.0 0.0 16.0 20856.0 2.65555968E8 13848.0
1435110479789 3 [1.41, 0.0, 4.55] [1.41, 0.01, 5.91] 24.0 0.0 16.0 20856.0 2.6556416E8 13848.0
1435110480927 3 [1.41, 0.0, 4.55] [1.41, 0.01, 5.91] 24.0 0.0 16.0 20856.0 2.66080256E8 13848.0
1435110482082 3 [1.41, 0.0, 4.26] [1.41, 0.01, 5.83] 24.0 0.0 16.0 20856.0 2.65691136E8 13848.0
1435110483315 3 [1.41, 0.0, 4.26] [1.41, 0.01, 5.83] 24.0 0.0 16.0 20856.0 2.65691136E8 13848.0
1435110487971 3 [1.86, 0.16, 4.0] [1.5, 0.05, 5.75] 24.0 0.0 16.0 20856.0 2.65826304E8 13848.0
1435110492294 3 [2.11, 0.15, 3.92] [1.56, 0.05, 5.7] 24.0 0.0 16.0 20856.0 2.663424E8 13848.0
1435110495176 3 [2.5, 0.15, 3.92] [1.65, 0.05, 5.7] 24.0 0.0 16.0 20856.0 2.67239424E8 13848.0
1435110496314 3 [2.5, 0.15, 3.92] [1.65, 0.05, 5.7] 24.0 0.0 16.0 20856.0 2.67239424E8 13848.0
1435110497453 3 [2.5, 0.14, 3.77] [1.65, 0.05, 5.64] 24.0 0.0 16.0 20856.0 2.67096064E8 13848.0
1435110498594 3 [2.5, 0.14, 3.77] [1.65, 0.05, 5.64] 24.0 0.0 16.0 20856.0 2.67096064E8 13848.0
1435110505211 3 [2.88, 0.13, 4.11] [1.76, 0.04, 5.68] 24.0 0.0 16.0 20856.0 2.65691136E8 13848.0
1435110506430 3 [2.88, 0.12, 4.11] [1.76, 0.04, 5.68] 24.0 0.0 16.0 20856.0 2.65699328E8 13848.0
1435110507583 3 [2.88, 0.12, 4.34] [1.76, 0.04, 5.7] 24.0 0.0 16.0 20856.0 2.65699328E8 13848.0
1435110508713 3 [2.88, 0.12, 4.34] [1.76, 0.04, 5.7] 24.0 0.0 16.0 20856.0 2.65572352E8 13848.0
1435110509854 3 [3.21, 0.12, 4.34] [1.85, 0.04, 5.7] 24.0 0.0 16.0 20856.0 2.65445376E8 13848.0
1435110510995 3 [3.21, 0.12, 4.34] [1.85, 0.04, 5.7] 24.0 0.0 16.0 20856.0 2.66072064E8 13848.0
1435110514183 3 [3.21, 0.11, 4.07] [1.85, 0.04, 5.63] 24.0 0.0 16.0 20856.0 2.62516736E8 13848.0
1435110515316 3 [3.35, 0.11, 4.07] [1.9, 0.04, 5.63] 24.0 0.0 16.0 20856.0 2.62516736E8 13848.0
1435110517151 3 [3.35, 0.1, 3.91] [1.9, 0.04, 5.57] 24.0 0.0 16.0 20856.0 2.62111232E8 13848.0
1435110518909 3 [3.35, 0.1, 3.91] [1.9, 0.04, 5.57] 24.0 0.0 16.0 20856.0 2.62660096E8 13848.0
1435110520050 3 [3.49, 0.1, 3.91] [1.95, 0.04, 5.57] 24.0 0.0 16.0 20856.0 2.62397952E8 13848.0
1435110521665 3 [3.49, 0.09, 3.91] [1.95, 0.04, 5.57] 24.0 0.0 16.0 20856.0 2.62254592E8 13848.0
1435110523241 3 [3.49, 0.09, 4.55] [1.95, 0.04, 5.67] 24.0 0.0 16.0 20856.0 2.62254592E8 13848.0
1435110524378 3 [3.49, 0.09, 4.55] [1.95, 0.04, 5.67] 24.0 0.0 16.0 20856.0 2.62643712E8 13848.0
1435110526572 3 [3.45, 0.08, 4.55] [1.97, 0.04, 5.67] 24.0 0.0 16.0 20856.0 2.62770688E8 13848.0
1435110528029 3 [3.45, 0.08, 4.43] [1.97, 0.04, 5.63] 24.0 0.0 16.0 20856.0 2.62381568E8 13848.0
1435110529160 3 [3.45, 0.08, 4.43] [1.97, 0.04, 5.63] 24.0 0.0 16.0 20856.0 2.62381568E8 13848.0
1435110530299 3 [3.57, 0.08, 4.43] [2.02, 0.04, 5.63] 24.0 0.0 16.0 20856.0 2.63159808E8 13848.0
1435110533174 3 [3.57, 0.08, 4.31] [2.02, 0.04, 5.58] 24.0 0.0 16.0 20856.0 2.6595328E8 13848.0
1435110534310 3 [3.57, 0.08, 4.31] [2.02, 0.04, 5.58] 24.0 0.0 16.0 20856.0 2.66080256E8 13848.0
1435110535439 3 [3.45, 0.08, 4.31] [2.02, 0.04, 5.58] 24.0 0.0 16.0 20856.0 2.66215424E8 13848.0
1435110536577 3 [3.45, 0.07, 4.31] [2.02, 0.04, 5.58] 24.0 0.0 16.0 20856.0 2.66215424E8 13848.0
1435110537962 3 [3.45, 0.07, 4.29] [2.02, 0.04, 5.56] 24.0 0.0 16.0 20856.0 2.66223616E8 13848.0
1435110539104 3 [3.45, 0.07, 4.29] [2.02, 0.04, 5.56] 24.0 0.0 16.0 20856.0 2.65826304E8 13848.0
