
1435111137100 3 [0.13, 0.0, 1.66] [1.62, 0.01, 4.08] 24.0 0.0 16.0 20856.0 2.67882496E8 13848.0
1435111138522 3 [0.13, 0.0, 1.52] [1.62, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67747328E8 13848.0
1435111139655 3 [0.13, 0.0, 1.52] [1.62, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67747328E8 13848.0
1435111140784 3 [0.12, 0.0, 1.52] [1.59, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67747328E8 13848.0
1435111141911 3 [0.12, 0.0, 1.52] [1.59, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.6785792E8 13848.0
1435111143039 3 [0.12, 0.0, 1.72] [1.59, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67730944E8 13848.0
1435111144177 3 [0.12, 0.0, 1.72] [1.59, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67739136E8 13848.0
1435111145316 3 [0.35, 0.0, 1.72] [1.62, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.6761216E8 13848.0
1435111146457 3 [0.35, 0.0, 1.72] [1.62, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67231232E8 13848.0
1435111147592 3 [0.35, 0.0, 2.07] [1.62, 0.01, 4.04] 24.0 0.0 16.0 20856.0 2.67239424E8 13848.0
1435111148721 3 [0.35, 0.0, 2.07] [1.62, 0.01, 4.04] 24.0 0.0 16.0 20856.0 2.68120064E8 13848.0
1435111149846 3 [0.72, 0.0, 2.07] [1.67, 0.01, 4.04] 24.0 0.0 16.0 20856.0 2.67587584E8 13848.0
1435111151491 3 [0.72, 0.0, 2.07] [1.67, 0.01, 4.04] 24.0 0.0 16.0 20856.0 2.67476992E8 13848.0
1435111152621 3 [0.72, 0.0, 1.98] [1.67, 0.01, 3.99] 24.0 0.0 16.0 20856.0 2.67984896E8 13848.0
1435111153755 3 [0.72, 0.0, 1.98] [1.67, 0.01, 3.99] 24.0 0.0 16.0 20856.0 2.6761216E8 13848.0
1435111154885 3 [0.72, 0.0, 1.98] [1.67, 0.01, 3.99] 24.0 0.0 16.0 20856.0 2.6761216E8 13848.0
1435111156023 3 [1.14, 0.0, 1.98] [1.74, 0.01, 3.99] 24.0 0.0 16.0 20856.0 2.68120064E8 13848.0
1435111157162 3 [1.14, 0.0, 1.98] [1.74, 0.01, 3.99] 24.0 0.0 16.0 20856.0 2.68120064E8 13848.0
1435111158292 3 [1.14, 0.0, 2.22] [1.74, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67730944E8 13848.0
1435111159417 3 [1.14, 0.0, 2.22] [1.74, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67730944E8 13848.0
1435111160568 3 [1.61, 0.0, 2.22] [1.83, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67866112E8 13848.0
1435111161706 3 [1.61, 0.0, 2.22] [1.83, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67993088E8 13848.0
1435111162843 3 [1.61, 0.0, 2.52] [1.83, 0.01, 4.04] 24.0 0.0 16.0 20856.0 2.67730944E8 13848.0
1435111163991 3 [1.61, 0.0, 2.52] [1.83, 0.01, 4.04] 24.0 0.0 16.0 20856.0 2.68238848E8 13848.0
1435111165127 3 [2.04, 0.0, 2.52] [1.92, 0.01, 4.04] 24.0 0.0 16.0 20856.0 2.67993088E8 13848.0
1435111166259 3 [2.04, 0.0, 2.52] [1.92, 0.01, 4.04] 24.0 0.0 16.0 20856.0 2.67866112E8 13848.0
1435111167386 3 [2.04, 0.0, 2.52] [1.92, 0.01, 4.04] 24.0 0.0 16.0 20856.0 2.67866112E8 13848.0
1435111168532 3 [2.04, 0.0, 2.48] [1.92, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67874304E8 13848.0
1435111169666 3 [2.04, 0.0, 2.48] [1.92, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.6771456E8 13848.0
1435111170804 3 [2.52, 0.0, 2.48] [2.02, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.67620352E8 13848.0
1435111171933 3 [2.52, 0.0, 2.48] [2.02, 0.01, 4.01] 24.0 0.0 16.0 20856.0 2.68128256E8 13848.0
1435111173069 3 [2.52, 0.0, 2.36] [2.02, 0.01, 3.96] 24.0 0.0 16.0 20856.0 2.67730944E8 13848.0
1435111174211 3 [2.52, 0.0, 2.36] [2.02, 0.01, 3.96] 24.0 0.0 16.0 20856.0 2.67730944E8 13848.0
1435111175348 3 [2.88, 0.0, 2.36] [2.1, 0.01, 3.96] 24.0 0.0 16.0 20856.0 2.67739136E8 13848.0
1435111176485 3 [2.88, 0.0, 2.36] [2.1, 0.01, 3.96] 24.0 0.0 16.0 20856.0 2.68500992E8 13848.0
1435111177618 3 [2.88, 0.0, 2.57] [2.1, 0.01, 3.97] 24.0 0.0 16.0 20856.0 2.67833344E8 13848.0
1435111178755 3 [2.88, 0.0, 2.57] [2.1, 0.01, 3.97] 24.0 0.0 16.0 20856.0 2.67747328E8 13848.0
1435111179886 3 [2.88, 0.0, 2.57] [2.1, 0.01, 3.97] 24.0 0.0 16.0 20856.0 2.68017664E8 13848.0
1435111181014 3 [3.05, 0.0, 2.57] [2.15, 0.01, 3.97] 24.0 0.0 16.0 20856.0 2.67620352E8 13848.0
1435111182150 3 [3.05, 0.0, 2.57] [2.15, 0.01, 3.97] 24.0 0.0 16.0 20856.0 2.67620352E8 13848.0
1435111183278 3 [3.05, 0.0, 2.53] [2.15, 0.01, 3.94] 24.0 0.0 16.0 20856.0 2.67485184E8 13848.0
1435111184404 3 [3.05, 0.0, 2.53] [2.15, 0.01, 3.94] 24.0 0.0 16.0 20856.0 2.67563008E8 13848.0
1435111185531 3 [3.37, 0.0, 2.53] [2.23, 0.01, 3.94] 24.0 0.0 16.0 20856.0 2.67485184E8 13848.0
1435111186680 3 [3.37, 0.0, 2.53] [2.23, 0.01, 3.94] 24.0 0.0 16.0 20856.0 2.67485184E8 13848.0
